"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","9.4320","10.2560","10.3970","9.3570","12.56M","-7.88%"
"Dec 30, 2021","10.2390","9.3110","10.6010","8.8000","18.61M","10.67%"
"Dec 29, 2021","9.2520","9.0570","9.9310","8.7810","19.82M","2.52%"
"Dec 28, 2021","9.0250","9.1490","9.7760","8.4420","30.12M","-1.24%"
"Dec 27, 2021","9.1380","7.9270","9.5600","7.6130","17.24M","15.28%"
"Dec 26, 2021","7.9270","7.6520","7.9690","7.1560","7.82M","4.08%"
"Dec 25, 2021","7.6160","7.9240","8.1310","7.2330","10.38M","-4.29%"
"Dec 24, 2021","7.9570","7.3050","7.9950","7.0670","13.83M","8.96%"
"Dec 23, 2021","7.3030","6.3650","7.4820","6.2310","18.56M","14.47%"
"Dec 22, 2021","6.3800","5.8420","6.5070","5.6120","9.44M","9.12%"
"Dec 21, 2021","5.8470","5.4760","5.8470","5.3340","5.87M","7.25%"
"Dec 20, 2021","5.4520","5.3280","5.5250","5.0850","4.74M","2.37%"
"Dec 19, 2021","5.3260","5.6010","5.6320","5.3070","5.83M","-4.96%"
"Dec 18, 2021","5.6040","5.5080","5.8600","5.4570","7.79M","1.65%"
"Dec 17, 2021","5.5130","5.6910","5.8360","5.3600","7.72M","-3.16%"
"Dec 16, 2021","5.6930","5.9470","6.2000","5.6590","8.88M","-4.16%"
"Dec 15, 2021","5.9400","5.7420","6.1540","5.6010","12.28M","3.54%"
"Dec 14, 2021","5.7370","5.6370","5.9200","5.3620","13.73M","1.88%"
"Dec 13, 2021","5.6310","5.5800","6.3270","5.2740","30.06M","0.84%"
"Dec 12, 2021","5.5840","5.7300","5.7300","5.3470","4.46M","-2.36%"
"Dec 11, 2021","5.7190","5.0800","5.7680","5.0070","8.95M","12.47%"
"Dec 10, 2021","5.0850","5.5230","5.6940","5.0690","8.29M","-7.75%"
"Dec 09, 2021","5.5120","6.6310","6.6340","5.4210","9.15M","-16.71%"
"Dec 08, 2021","6.6180","5.8660","6.8990","5.6460","14.10M","12.90%"
"Dec 07, 2021","5.8620","6.3080","6.4300","5.7940","9.07M","-7.29%"
"Dec 06, 2021","6.3230","5.2760","6.4710","4.8000","14.84M","19.89%"
"Dec 05, 2021","5.2740","5.8270","5.9680","5.0820","7.14M","-9.78%"
"Dec 04, 2021","5.8460","6.8360","6.8710","4.4620","20.20M","-14.64%"
"Dec 03, 2021","6.8490","7.3630","7.4770","6.6190","5.19M","-7.13%"
"Dec 02, 2021","7.3750","7.5530","7.6120","7.1920","5.51M","-2.37%"
"Dec 01, 2021","7.5540","8.0060","8.1710","7.5190","6.57M","-6.08%"
"Nov 30, 2021","8.0430","7.4650","8.0430","7.1840","8.00M","7.76%"
"Nov 29, 2021","7.4640","7.9440","8.1470","7.4480","8.70M","-6.05%"
"Nov 28, 2021","7.9450","7.0500","8.0330","6.6780","10.36M","12.62%"
"Nov 27, 2021","7.0550","7.0300","7.3340","6.9610","4.35M","0.87%"
"Nov 26, 2021","6.9940","8.2020","8.4080","6.8750","11.25M","-14.60%"
"Nov 25, 2021","8.1900","7.9500","8.4100","7.6600","7.16M","2.82%"
"Nov 24, 2021","7.9650","8.3750","8.4620","7.8270","4.70M","-4.79%"
